region,country,index_name,slug,ticker,status,rows,start_date,end_date,message
North America,United States,S&P 500,us_sp500,^GSPC,success,4129,2010-01-04,2026-06-03,
North America,United States,NASDAQ Composite,us_nasdaq_composite,^IXIC,success,4129,2010-01-04,2026-06-03,
North America,United States,Dow Jones Industrial Average,us_dow_jones,^DJI,success,4129,2010-01-04,2026-06-03,
North America,United States,Russell 2000,us_russell_2000,^RUT,success,4129,2010-01-04,2026-06-03,
North America,Canada,S&P/TSX Composite,canada_tsx_composite,^GSPTSE,success,4120,2010-01-04,2026-06-03,
North America,Mexico,S&P/BMV IPC,mexico_ipc,^MXX,success,4116,2010-01-04,2026-06-03,
Asia,South Korea,KOSPI,korea_kospi,^KS11,success,4036,2010-01-04,2026-06-04,
Asia,South Korea,KOSDAQ,korea_kosdaq,^KQ11,success,4036,2010-01-04,2026-06-04,
Asia,Japan,Nikkei 225,japan_nikkei_225,^N225,success,4014,2010-01-04,2026-06-04,
Asia,Japan,TOPIX,japan_topix,1306.T,success,4033,2010-01-04,2026-06-04,
Asia,China,Shanghai Composite,china_shanghai_composite,000001.SS,success,3981,2010-01-04,2026-06-04,
Asia,China,Shenzhen Component,china_shenzhen_component,399001.SZ,success,3981,2010-01-04,2026-06-04,
Asia,Hong Kong,Hang Seng Index,hongkong_hang_seng,^HSI,success,4040,2010-01-04,2026-06-04,
Asia,Taiwan,Taiwan Weighted Index,taiwan_weighted,^TWII,success,4007,2010-01-04,2026-06-04,
Asia,India,NIFTY 50,india_nifty_50,^NSEI,success,4031,2010-01-04,2026-06-04,
Asia,India,BSE SENSEX,india_sensex,^BSESN,success,4036,2010-01-04,2026-06-04,
Asia,Indonesia,Jakarta Composite,indonesia_jakarta_composite,^JKSE,success,3980,2010-01-04,2026-06-04,
Asia,Thailand,SET Index,thailand_set,^SET.BK,success,3985,2010-01-04,2026-06-04,
Asia,Singapore,Straits Times Index,singapore_sti,^STI,success,4105,2010-01-04,2026-06-04,
Asia,Vietnam,VN Index,vietnam_vn_index,^VNINDEX.VN,success,1,2026-06-04,2026-06-04,
Europe,Eurozone,EURO STOXX 50,eurozone_euro_stoxx_50,^STOXX50E,success,4116,2010-01-04,2026-06-04,
Europe,Germany,DAX Performance Index,germany_dax,^GDAXI,success,4166,2010-01-04,2026-06-04,
Europe,France,CAC 40,france_cac_40,^FCHI,success,4198,2010-01-04,2026-06-04,
Europe,United Kingdom,FTSE 100,uk_ftse_100,^FTSE,success,4145,2010-01-04,2026-06-04,
Europe,Italy,FTSE MIB,italy_ftse_mib,FTSEMIB.MI,success,4169,2010-01-04,2026-06-04,
Europe,Spain,IBEX 35,spain_ibex_35,^IBEX,success,4198,2010-01-04,2026-06-04,
Oceania,Australia,S&P/ASX 200,australia_asx_200,^AXJO,success,4144,2010-01-04,2026-06-04,
South America,Brazil,Bovespa Index,brazil_bovespa,^BVSP,success,4069,2010-01-04,2026-06-03,
