DATE,INDLOLITONOSTSAM
1994-04-01,99.1031
1994-05-01,99.45132
1994-06-01,99.77103
1994-07-01,100.0584
1994-08-01,100.3118
1994-09-01,100.5315
1994-10-01,100.721
1994-11-01,100.8839
1994-12-01,101.0254
1995-01-01,101.1511
1995-02-01,101.2667
1995-03-01,101.3754
1995-04-01,101.4772
1995-05-01,101.5704
1995-06-01,101.6523
1995-07-01,101.7201
1995-08-01,101.7699
1995-09-01,101.7996
1995-10-01,101.8086
1995-11-01,101.7984
1995-12-01,101.7702
1996-01-01,101.7247
1996-02-01,101.6618
1996-03-01,101.5805
1996-04-01,101.4812
1996-05-01,101.3639
1996-06-01,101.231
1996-07-01,101.0859
1996-08-01,100.9345
1996-09-01,100.7838
1996-10-01,100.6413
1996-11-01,100.5134
1996-12-01,100.4045
1997-01-01,100.3149
1997-02-01,100.2417
1997-03-01,100.1805
1997-04-01,100.1261
1997-05-01,100.0718
1997-06-01,100.0101
1997-07-01,99.93488
1997-08-01,99.84292
1997-09-01,99.73441
1997-10-01,99.61068
1997-11-01,99.47437
1997-12-01,99.33081
1998-01-01,99.18529
1998-02-01,99.04582
1998-03-01,98.9184
1998-04-01,98.8091
1998-05-01,98.72469
1998-06-01,98.67305
1998-07-01,98.66233
1998-08-01,98.69855
1998-09-01,98.78493
1998-10-01,98.92284
1998-11-01,99.11224
1998-12-01,99.35094
1999-01-01,99.63486
1999-02-01,99.95851
1999-03-01,100.3168
1999-04-01,100.7032
1999-05-01,101.0279
1999-06-01,101.3644
1999-07-01,101.7057
1999-08-01,102.043
1999-09-01,102.3661
1999-10-01,102.6612
1999-11-01,102.9112
1999-12-01,103.0992
2000-01-01,103.2102
2000-02-01,103.2366
2000-03-01,103.1819
2000-04-01,103.0549
2000-05-01,102.8681
2000-06-01,102.6357
2000-07-01,102.3723
2000-08-01,102.0918
2000-09-01,101.8057
2000-10-01,101.525
2000-11-01,101.2546
2000-12-01,100.9968
2001-01-01,100.7547
2001-02-01,100.5299
2001-03-01,100.3221
2001-04-01,100.1336
2001-05-01,99.95786
2001-06-01,99.77687
2001-07-01,99.60069
2001-08-01,99.42942
2001-09-01,99.26451
2001-10-01,99.10931
2001-11-01,98.96579
2001-12-01,98.83288
2002-01-01,98.71091
2002-02-01,98.59916
2002-03-01,98.49811
2002-04-01,98.40912
2002-05-01,98.32922
2002-06-01,98.25631
2002-07-01,98.18871
2002-08-01,98.12756
2002-09-01,98.07441
2002-10-01,98.03298
2002-11-01,98.00733
2002-12-01,98.00143
2003-01-01,98.01932
2003-02-01,98.06491
2003-03-01,98.14119
2003-04-01,98.24796
2003-05-01,98.38155
2003-06-01,98.53658
2003-07-01,98.7073
2003-08-01,98.88751
2003-09-01,99.0704
2003-10-01,99.24969
2003-11-01,99.41849
2003-12-01,99.57061
2004-01-01,99.70094
2004-02-01,99.80707
2004-03-01,99.88864
2004-04-01,99.94699
2004-05-01,99.98402
2004-06-01,100.0036
2004-07-01,100.0076
2004-08-01,99.99676
2004-09-01,99.97215
2004-10-01,99.93465
2004-11-01,99.88517
2004-12-01,99.82569
2005-01-01,99.76009
2005-02-01,99.69261
2005-03-01,99.62699
2005-04-01,99.56696
2005-05-01,99.51512
2005-06-01,99.47324
2005-07-01,99.4429
2005-08-01,99.42429
2005-09-01,99.41673
2005-10-01,99.42027
2005-11-01,99.43625
2005-12-01,99.4651
2006-01-01,99.50645
2006-02-01,99.55891
2006-03-01,99.61943
2006-04-01,99.684
2006-05-01,99.74998
2006-06-01,99.81852
2006-07-01,99.89133
2006-08-01,99.96947
2006-09-01,100.0535
2006-10-01,100.1431
2006-11-01,100.2376
2006-12-01,100.3361
2007-01-01,100.4407
2007-02-01,100.5535
2007-03-01,100.676
2007-04-01,100.8096
2007-05-01,100.9505
2007-06-01,101.0897
2007-07-01,101.2174
2007-08-01,101.3227
2007-09-01,101.394
2007-10-01,101.4205
2007-11-01,101.3921
2007-12-01,101.3057
2008-01-01,101.1629
2008-02-01,100.9723
2008-03-01,100.7461
2008-04-01,100.5001
2008-05-01,100.248
2008-06-01,100.0063
2008-07-01,99.79242
2008-08-01,99.61948
2008-09-01,99.49792
2008-10-01,99.43386
2008-11-01,99.42989
2008-12-01,99.485
2009-01-01,99.59491
2009-02-01,99.75382
2009-03-01,99.95484
2009-04-01,100.1895
2009-05-01,100.4462
2009-06-01,100.7139
2009-07-01,100.9833
2009-08-01,101.246
2009-09-01,101.4952
2009-10-01,101.725
2009-11-01,101.9304
2009-12-01,102.1073
2010-01-01,102.2536
2010-02-01,102.3685
2010-03-01,102.4535
2010-04-01,102.5107
2010-05-01,102.5411
2010-06-01,102.5482
2010-07-01,102.534
2010-08-01,102.4994
2010-09-01,102.4442
2010-10-01,102.3691
2010-11-01,102.2737
2010-12-01,102.1583
2011-01-01,102.0238
2011-02-01,101.8725
2011-03-01,101.7066
2011-04-01,101.5286
2011-05-01,101.3391
2011-06-01,101.1416
2011-07-01,100.9395
2011-08-01,100.7369
2011-09-01,100.5388
2011-10-01,100.3494
2011-11-01,100.171
2011-12-01,100.005
2012-01-01,99.85242
2012-02-01,99.71238
2012-03-01,99.58401
2012-04-01,99.46758
2012-05-01,99.36311
2012-06-01,99.27059
2012-07-01,99.18919
2012-08-01,99.11787
2012-09-01,99.05471
2012-10-01,98.99727
2012-11-01,98.94364
2012-12-01,98.89243
2013-01-01,98.84274
2013-02-01,98.79409
2013-03-01,98.74792
2013-04-01,98.70587
2013-05-01,98.66947
2013-06-01,98.64139
2013-07-01,98.62592
2013-08-01,98.62841
2013-09-01,98.64983
2013-10-01,98.69271
2013-11-01,98.75587
2013-12-01,98.83647
2014-01-01,98.93534
2014-02-01,99.05145
2014-03-01,99.18265
2014-04-01,99.32574
2014-05-01,99.47433
2014-06-01,99.62015
2014-07-01,99.75798
2014-08-01,99.88203
2014-09-01,99.98706
2014-10-01,100.0729
2014-11-01,100.1392
2014-12-01,100.1859
2015-01-01,100.2172
2015-02-01,100.2359
2015-03-01,100.2454
2015-04-01,100.2512
2015-05-01,100.2522
2015-06-01,100.2462
2015-07-01,100.2322
2015-08-01,100.2091
2015-09-01,100.1763
2015-10-01,100.1324
2015-11-01,100.0754
2015-12-01,100.0053
2016-01-01,99.9221
2016-02-01,99.82653
2016-03-01,99.72027
2016-04-01,99.60461
2016-05-01,99.47947
2016-06-01,99.34729
2016-07-01,99.21131
2016-08-01,99.07686
2016-09-01,98.95129
2016-10-01,98.843
2016-11-01,98.76052
2016-12-01,98.7117
2017-01-01,98.70166
2017-02-01,98.73223
2017-03-01,98.80145
2017-04-01,98.90494
2017-05-01,99.03709
2017-06-01,99.19214
2017-07-01,99.3641
2017-08-01,99.54673
2017-09-01,99.73406
2017-10-01,99.92107
2017-11-01,100.103
2017-12-01,100.275
2018-01-01,100.4332
2018-02-01,100.5741
2018-03-01,100.6951
2018-04-01,100.7939
2018-05-01,100.8675
2018-06-01,100.9139
2018-07-01,100.9331
2018-08-01,100.9262
2018-09-01,100.8952
2018-10-01,100.8442
2018-11-01,100.7783
2018-12-01,100.7018
2019-01-01,100.6189
2019-02-01,100.5333
2019-03-01,100.4479
2019-04-01,100.3648
2019-05-01,100.284
2019-06-01,100.2062
2019-07-01,100.133
2019-08-01,100.0659
2019-09-01,100.0059
2019-10-01,99.95292
2019-11-01,99.90614
2019-12-01,99.86559
2020-01-01,99.83307
2020-02-01,99.81042
2020-03-01,91.46995
2020-04-01,76.88143
2020-05-01,87.93049
2020-06-01,93.39605
2020-07-01,95.90258
2020-08-01,97.21384
2020-09-01,99.20492
2020-10-01,100.0595
2020-11-01,100.1254
2020-12-01,100.1922
2021-01-01,100.2574
2021-02-01,100.3195
2021-03-01,100.3773
2021-04-01,100.4309
2021-05-01,100.4799
2021-06-01,100.5233
2021-07-01,100.5599
2021-08-01,100.588
2021-09-01,100.6067
2021-10-01,100.6158
2021-11-01,100.6154
2021-12-01,100.6049
2022-01-01,100.5834
2022-02-01,100.5503
2022-03-01,100.5056
2022-04-01,100.4496
2022-05-01,100.3833
2022-06-01,100.3091
2022-07-01,100.2296
2022-08-01,100.147
2022-09-01,100.0647
2022-10-01,99.98627
2022-11-01,99.91405
2022-12-01,99.84964
2023-01-01,99.79562
2023-02-01,99.75465
2023-03-01,99.72799
2023-04-01,99.71491
2023-05-01,99.71075
2023-06-01,99.71133
2023-07-01,99.71404
2023-08-01,99.71747
2023-09-01,99.72083
2023-10-01,99.72414
2023-11-01,99.72842
2023-12-01,99.73389
2024-01-01,99.73956
