export_value_index,export_value_index_mom_pct,export_value_index_yoy_pct,export_volume_index,export_volume_index_mom_pct,export_volume_index_yoy_pct,exports_usd,exports_usd_mom_pct,exports_usd_yoy_pct,import_value_index,import_value_index_mom_pct,import_value_index_yoy_pct,import_volume_index,import_volume_index_mom_pct,import_volume_index_yoy_pct,imports_usd,imports_usd_mom_pct,imports_usd_yoy_pct,month,trade_balance_usd,trade_balance_usd_mom_pct,trade_balance_usd_yoy_pct
136.35,,,118.18,,,57458788000.0,,,135.82,,,109.49,,,53838742000.0,,,202407,3620046000.0,,
132.3,-2.97,,115.69,-2.11,,57642924000.0,0.32,,137.86,1.5,,110.7,1.11,,54054894000.0,0.4,,202408,3588030000.0,-0.88,
135.66,2.54,,119.92,3.66,,58544693000.0,1.56,,134.15,-2.69,,109.51,-1.07,,52102925000.0,-3.61,,202409,6441768000.0,79.53,
133.9,-1.3,,119.0,-0.77,,57500192000.0,-1.78,,140.02,4.38,,115.68,5.63,,54331589000.0,4.28,,202410,3168603000.0,-50.81,
131.0,-2.17,,116.72,-1.92,,56288629000.0,-2.11,,129.76,-7.33,,107.35,-7.2,,50718992000.0,-6.65,,202411,5569637000.0,75.78,
141.3,7.86,,126.83,8.66,,61359250000.0,9.01,,138.58,6.8,,116.0,8.06,,54866380000.0,8.18,,202412,6492870000.0,16.58,
112.86,-20.13,,101.49,-19.98,,49176984000.0,-19.85,,131.11,-5.39,,110.7,-4.57,,51172292000.0,-6.73,,202501,-1995308000.0,-130.73,
123.31,9.26,,111.36,9.73,,52292301000.0,6.33,,123.71,-5.64,,103.07,-6.89,,48328741000.0,-5.56,,202502,3963560000.0,-298.64,
133.44,8.22,,120.62,8.32,,58064562000.0,11.04,,136.2,10.1,,114.01,10.61,,53341032000.0,10.37,,202503,4723530000.0,19.17,
135.18,1.3,,122.66,1.69,,58035745000.0,-0.05,,136.12,-0.06,,115.67,1.46,,53232716000.0,-0.2,,202504,4803029000.0,1.68,
133.41,-1.31,,121.31,-1.1,,57261063000.0,-1.33,,128.4,-5.67,,110.39,-4.56,,50345116000.0,-5.42,,202505,6915947000.0,43.99,
139.04,4.22,,125.95,3.82,,59833797000.0,4.49,,130.02,1.26,,112.81,2.19,,50825746000.0,0.95,,202506,9008051000.0,30.25,
141.97,2.11,4.12,127.79,1.46,8.13,60724322000.0,1.49,5.68,138.31,6.38,1.83,117.94,4.55,7.72,54210371000.0,6.66,0.69,202507,6513951000.0,-27.69,79.94
134.82,-5.04,1.9,121.87,-4.63,5.34,58259332000.0,-4.06,1.07,132.5,-4.2,-3.89,113.01,-4.18,2.09,51856624000.0,-4.34,-4.07,202508,6402708000.0,-1.71,78.45
151.89,12.66,11.96,137.21,12.59,14.42,65904118000.0,13.12,12.57,144.68,9.19,7.85,124.55,10.21,13.73,56419614000.0,8.8,8.28,202509,9484504000.0,48.13,47.23
133.06,-12.4,-0.63,117.76,-14.18,-1.04,59511578000.0,-9.7,3.5,136.65,-5.55,-2.41,116.75,-6.26,0.92,53510827000.0,-5.16,-1.51,202510,6000751000.0,-36.73,89.38
142.77,7.3,8.98,124.9,6.06,7.01,60752618000.0,2.09,7.93,130.65,-4.39,0.69,112.28,-3.83,4.59,51284605000.0,-4.16,1.12,202511,9468013000.0,57.78,69.99
162.11,13.55,14.73,142.25,13.89,12.16,69513624000.0,14.42,13.29,146.64,12.24,5.82,126.06,12.27,8.67,57367684000.0,11.86,4.56,202512,12145940000.0,28.28,87.07
154.7,-4.57,37.07,130.03,-8.59,28.12,65835072000.0,-5.29,33.87,146.84,0.14,12.0,126.22,0.13,14.02,57098230000.0,-0.47,11.58,202601,8736842000.0,-28.07,-537.87
158.62,2.53,28.64,129.86,-0.13,16.61,67654065000.0,2.76,29.38,133.5,-9.08,7.91,113.97,-9.71,10.58,51880650000.0,-9.14,7.35,202602,15773415000.0,80.54,297.96
203.63,28.38,52.6,149.03,14.76,23.55,87320893000.0,29.07,50.39,153.74,15.16,12.88,128.0,12.31,12.27,60437390000.0,16.49,13.3,202603,26883503000.0,70.44,469.14
203.06,-0.28,50.21,137.84,-7.51,12.38,85830054000.0,-1.71,47.89,158.95,3.39,16.77,115.53,-9.74,-0.12,62088968000.0,2.73,16.64,202604,23741086000.0,-11.69,394.29
209.24,3.04,56.84,139.12,0.93,14.68,87821386000.0,2.32,53.37,155.69,-2.05,21.25,116.13,0.52,5.2,60785086000.0,-2.1,20.74,202605,27036300000.0,13.88,290.93
